payout_provider,payout_amount,payout_currency,timestamp
PayPal,20.0,EUR,2024-06-17T09:46:50.301798+00:00
PayPal,50.0,EUR,2024-06-17T09:46:50.334441+00:00
PayPal,5.0,GBP,2024-06-17T09:46:50.368184+00:00
Esselunga IT,10.0,EUR,2024-06-17T09:46:50.400073+00:00
Amazon.it,2.0,EUR,2024-06-17T09:46:50.430616+00:00
PayPal,5.0,EUR,2024-06-17T09:46:50.464844+00:00
PayPal International,5.0,EUR,2024-06-17T09:46:50.495771+00:00
PayPal,20.0,EUR,2024-06-17T09:46:50.524286+00:00
PayPal,5.0,USD,2024-06-17T09:46:50.554198+00:00
Amazon.com,50.0,USD,2024-06-17T09:46:50.586756+00:00
PayPal,20.0,AUD,2024-06-17T09:46:50.617392+00:00
PayPal,20.0,AUD,2024-06-17T09:46:50.647941+00:00
PayPal,10.0,EUR,2024-06-17T09:46:50.679414+00:00
Bol.com NL,5.0,EUR,2024-06-17T09:46:50.711678+00:00
Amazon.de,10.0,EUR,2024-06-17T09:46:50.740638+00:00
PayPal,5.0,EUR,2024-06-17T09:46:50.775046+00:00
PayPal,5.0,EUR,2024-06-17T09:46:50.811407+00:00
PayPal,5.0,EUR,2024-06-17T09:46:50.841930+00:00
PayPal,10.0,EUR,2024-06-17T09:46:50.870608+00:00
Amazon.com,100.0,USD,2024-06-17T09:46:50.899817+00:00
,1.0,EUR,2024-06-17T09:46:52.449333+00:00
PayPal,20.0,EUR,2024-06-17T09:46:52.480940+00:00
PayPal,50.0,EUR,2024-06-17T09:46:52.517177+00:00
PayPal,5.0,GBP,2024-06-17T09:46:52.558222+00:00
Esselunga IT,10.0,EUR,2024-06-17T09:46:52.589831+00:00
Amazon.it,2.0,EUR,2024-06-17T09:46:52.623516+00:00
PayPal,5.0,EUR,2024-06-17T09:46:52.654510+00:00
PayPal International,5.0,EUR,2024-06-17T09:46:52.684961+00:00
PayPal,20.0,EUR,2024-06-17T09:46:52.712623+00:00
PayPal,5.0,USD,2024-06-17T09:46:52.746152+00:00
Amazon.com,50.0,USD,2024-06-17T09:46:52.778755+00:00
PayPal,20.0,AUD,2024-06-17T09:46:52.815291+00:00
PayPal,20.0,AUD,2024-06-17T09:46:52.847405+00:00
PayPal,10.0,EUR,2024-06-17T09:46:52.877446+00:00
Bol.com NL,5.0,EUR,2024-06-17T09:46:52.913433+00:00
Amazon.de,10.0,EUR,2024-06-17T09:46:52.937946+00:00
PayPal,5.0,EUR,2024-06-17T09:46:52.964971+00:00
PayPal,5.0,EUR,2024-06-17T09:46:52.991084+00:00
PayPal,5.0,EUR,2024-06-17T09:46:53.020340+00:00
PayPal,10.0,EUR,2024-06-17T09:46:53.064513+00:00
Amazon.de,1.0,EUR,2024-06-17T09:46:54.607590+00:00
PayPal,20.0,EUR,2024-06-17T09:46:54.635525+00:00
PayPal,50.0,EUR,2024-06-17T09:46:54.662308+00:00
PayPal,5.0,GBP,2024-06-17T09:46:54.691306+00:00
Esselunga IT,10.0,EUR,2024-06-17T09:46:54.719165+00:00
Amazon.it,2.0,EUR,2024-06-17T09:46:54.751524+00:00
PayPal,5.0,EUR,2024-06-17T09:46:54.781596+00:00
PayPal International,5.0,EUR,2024-06-17T09:46:54.808472+00:00
PayPal,20.0,EUR,2024-06-17T09:46:54.837620+00:00
PayPal,5.0,USD,2024-06-17T09:46:54.868764+00:00
Amazon.com,50.0,USD,2024-06-17T09:46:54.909365+00:00
PayPal,20.0,AUD,2024-06-17T09:46:54.942051+00:00
PayPal,20.0,AUD,2024-06-17T09:46:54.972368+00:00
PayPal,10.0,EUR,2024-06-17T09:46:55.003990+00:00
Bol.com NL,5.0,EUR,2024-06-17T09:46:55.040218+00:00
Amazon.de,10.0,EUR,2024-06-17T09:46:55.069403+00:00
PayPal,5.0,EUR,2024-06-17T09:46:55.097626+00:00
PayPal,5.0,EUR,2024-06-17T09:46:55.132382+00:00
PayPal,5.0,EUR,2024-06-17T09:46:55.165355+00:00
PayPal,10.0,EUR,2024-06-17T09:46:55.193484+00:00
Virtual Visa International,1.0,USD,2024-06-17T09:46:56.740256+00:00
ACH,5.0,USD,2024-06-17T09:46:56.769403+00:00
Venmo,100.0,USD,2024-06-17T09:46:56.796409+00:00
PayPal,5.0,USD,2024-06-17T09:46:56.825461+00:00
Amazon.de,1.0,EUR,2024-06-17T09:46:56.855860+00:00
PayPal,20.0,EUR,2024-06-17T09:46:56.888089+00:00
PayPal,50.0,EUR,2024-06-17T09:46:56.916527+00:00
PayPal,5.0,GBP,2024-06-17T09:46:56.944109+00:00
Esselunga IT,10.0,EUR,2024-06-17T09:46:56.972955+00:00
Amazon.it,2.0,EUR,2024-06-17T09:46:57.006539+00:00
PayPal,5.0,EUR,2024-06-17T09:46:57.038172+00:00
PayPal International,5.0,EUR,2024-06-17T09:46:57.069014+00:00
PayPal,20.0,EUR,2024-06-17T09:46:57.097317+00:00
PayPal,5.0,USD,2024-06-17T09:46:57.123657+00:00
Amazon.com,50.0,USD,2024-06-17T09:46:57.152825+00:00
PayPal,20.0,AUD,2024-06-17T09:46:57.183226+00:00
PayPal,20.0,AUD,2024-06-17T09:46:57.214421+00:00
PayPal,10.0,EUR,2024-06-17T09:46:57.244720+00:00
Bol.com NL,5.0,EUR,2024-06-17T09:46:57.274157+00:00
Amazon.de,10.0,EUR,2024-06-17T09:46:57.303917+00:00
PayPal International,5.0,EUR,2024-06-17T09:46:58.854359+00:00
PayPal,5.0,GBP,2024-06-17T09:46:58.884746+00:00
PayPal,10.0,GBP,2024-06-17T09:46:58.919096+00:00
PayPal,5.0,GBP,2024-06-17T09:46:58.948869+00:00
Virtual Visa International,1.0,USD,2024-06-17T09:46:58.982696+00:00
ACH,5.0,USD,2024-06-17T09:46:59.019567+00:00
Venmo,100.0,USD,2024-06-17T09:46:59.050577+00:00
PayPal,5.0,USD,2024-06-17T09:46:59.079104+00:00
Amazon.de,1.0,EUR,2024-06-17T09:46:59.104149+00:00
PayPal,20.0,EUR,2024-06-17T09:46:59.131548+00:00
PayPal,50.0,EUR,2024-06-17T09:46:59.158262+00:00
PayPal,5.0,GBP,2024-06-17T09:46:59.190735+00:00
Esselunga IT,10.0,EUR,2024-06-17T09:46:59.218379+00:00
Amazon.it,2.0,EUR,2024-06-17T09:46:59.248621+00:00
PayPal,5.0,EUR,2024-06-17T09:46:59.276341+00:00
PayPal International,5.0,EUR,2024-06-17T09:46:59.311001+00:00
PayPal,20.0,EUR,2024-06-17T09:46:59.349643+00:00
PayPal,5.0,USD,2024-06-17T09:46:59.378459+00:00
Amazon.com,50.0,USD,2024-06-17T09:46:59.409073+00:00
PayPal,20.0,AUD,2024-06-17T09:46:59.436046+00:00
PayPal International,5.0,EUR,2024-06-17T09:47:00.986582+00:00
PayPal,5.0,GBP,2024-06-17T09:47:01.020286+00:00
PayPal,10.0,GBP,2024-06-17T09:47:01.051858+00:00
PayPal,5.0,GBP,2024-06-17T09:47:01.084495+00:00
Virtual Visa International,1.0,USD,2024-06-17T09:47:01.114522+00:00
